Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	3	. lol .	3	Human 2	9, 11
3	2	. lol	5	Human 2	9, 11, 13
3	2	you have	9	Human 2	3, 9, 11
2	2	have a	7	Human 2	3, 9
2	2	i don't	3	Human 2	3, 5
2	2	what i'm	3	Human 2	11, 13
5	1	i	13	Human 2	1, 3, 5, 9, 13
5	1	you	11	Human 2	1, 3, 7, 9, 11
4	1	have	11	Human 2	3, 9, 11, 13
3	1	i'm	5	Human 2	9, 11, 13
3	1	lol	5	Human 2	9, 11, 13
2	1	but	11	Human 2	3, 13
2	1	cool	3	Human 2	3, 5
2	1	it's	3	Human 2	3, 5
2	1	know	3	Human 2	11, 13
2	1	met	3	Human 2	1, 3
2	1	not	3	Human 2	11, 13
2	1	so	3	Human 2	3, 5

