Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	6	. here are 5 tips for	3	Human 2	11, 13
3	4	here are 5 tips	5	Human 2	9, 11, 13
2	4	! here are 5	3	Human 2	7, 9
3	3	! here are	7	Human 2	3, 7, 9
3	3	. here are	9	Human 2	5, 11, 13
2	3	a bug-free hiking	7	Human 2	7, 13
2	3	your bug-free hike	3	Human 2	9, 11
3	2	tips to	7	Human 2	3, 7, 9
2	2	for the	13	Human 2	1, 13
2	2	for your	7	Human 2	5, 11
2	2	have a	5	Human 2	3, 7
2	2	hike in	5	Human 2	9, 13
2	2	hiking experience	9	Human 2	5, 13
6	1	tips	11	Human 2	3, 5, 7, 9, 11, 13
5	1	to	11	Human 2	3, 7, 9, 11, 13
5	1	your	9	Human 2	5, 7, 9, 11, 13
4	1	a	11	Human 2	3, 7, 11, 13
4	1	hiking	11	Human 2	3, 5, 7, 13
4	1	the	13	Human 2	1, 5, 11, 13
2	1	and	5	Human 2	5, 9
2	1	diablo	3	Human 2	9, 11
2	1	great	7	Human 2	3, 9
2	1	i	3	Human 2	11, 13
2	1	plans	7	Human 2	1, 7
2	1	that	11	Human 2	3, 13
2	1	weekend	7	Human 2	1, 7
2	1	you	3	Human 2	3, 5
2	1	you're	5	Human 2	7, 11

