Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	8	i'm just an ai , i don't have	5	Human 2	3, 7
3	6	for the badminton event this weekend	5	Human 2	11, 13, 15
2	6	however , i will have to	5	Human 2	5, 9
2	4	the logistics and organizing	3	Human 2	13, 15
2	4	would you like to	3	Human 2	11, 13
4	2	for the	7	Human 2	9, 11, 13, 15
3	2	to volunteer	9	Human 2	3, 9, 11
2	2	as i	5	Human 2	5, 9
2	2	great !	5	Human 2	9, 13
2	2	hello !	3	Human 2	1, 3
2	2	other events	3	Human 2	9, 11
5	1	and	11	Human 2	5, 9, 11, 13, 15
5	1	for	9	Human 2	7, 9, 11, 13, 15
4	1	event	7	Human 2	9, 11, 13, 15
4	1	the	7	Human 2	9, 11, 13, 15
4	1	volunteer	9	Human 2	3, 5, 9, 11
4	1	weekend	7	Human 2	9, 11, 13, 15
4	1	you	7	Human 2	9, 11, 13, 15
3	1	like	9	Human 2	5, 11, 13
3	1	will	11	Human 2	5, 9, 15
2	1	details	7	Human 2	9, 15
2	1	help	3	Human 2	13, 15
2	1	next	3	Human 2	9, 11
2	1	personal	5	Human 2	3, 7

