Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
2	2	4	get a fresher outlook	5	2	1	Human 1	4, 5
2	2	4	is one of the	11	4	1	Human 1	8, 11
3	3	3	have been very	3	6	1	Human 1	2, 3, 7
2	2	3	in terms of	7	6	1	Human 1	2, 7
5	5	2	. i	9	9	1	Human 1	8, 9, 10, 15, 16
4	1	2	have been	11	10	1	Human 1	2, 3, 7, 11
4	4	2	i think	13	8	3	Human 1	6, 8, 12, 13
3	3	2	and work	3	12	1	Human 1	2, 3, 13
3	3	2	great !	11	8	2	Human 1	4, 8, 11
3	3	2	mental health	9	6	1	Human 1	8, 9, 13
3	1	2	of the	8	5	1	Human 2	7, 8, 11
2	2	2	! i	11	6	1	Human 1	6, 11
2	2	2	good idea	7	4	1	Human 1	4, 7
2	2	2	have some	17	12	1	Human 1	6, 17
2	2	2	that's very	17	4	1	Human 1	14, 17
2	2	2	this is	11	4	1	Human 1	8, 11
11	5	1	i	9	15	4	Human 1	2, 4, 6, 8, 9, 10, 11, 12, 13, 15, 16
10	10	1	and	3	16	1	Human 1	2, 3, 7, 9, 11, 12, 13, 14, 15, 17
10	10	1	you	2	17	1	Human 2	1, 2, 5, 6, 7, 11, 12, 13, 15, 17
9	4	1	have	9	16	1	Human 1	2, 3, 6, 7, 9, 11, 13, 15, 17
9	9	1	that	7	12	1	Human 1	6, 7, 9, 10, 11, 12, 13, 15, 17
9	8	1	the	6	17	2	Human 2	1, 3, 6, 7, 8, 9, 11, 15, 17
8	6	1	a	10	15	1	Human 1	4, 5, 10, 11, 12, 14, 16, 18
8	8	1	with	3	12	1	Human 1	2, 3, 6, 9, 10, 11, 12, 13
8	5	1	work	7	14	1	Human 1	2, 3, 7, 9, 10, 12, 13, 15
7	3	1	of	9	15	1	Human 1	2, 7, 8, 9, 10, 11, 16
7	3	1	think	9	12	2	Human 1	6, 8, 9, 11, 12, 13, 17
7	5	1	this	6	12	2	Human 2	1, 3, 6, 7, 8, 11, 12
6	6	1	for	7	12	1	Human 1	2, 7, 8, 9, 11, 13
6	6	1	to	9	15	1	Human 1	4, 9, 11, 12, 13, 18
5	2	1	great	15	14	2	Human 1	4, 8, 11, 15, 17
5	3	1	is	11	6	2	Human 1	8, 10, 11, 12, 13
4	2	1	get	9	14	1	Human 1	4, 5, 9, 17
4	4	1	help	9	12	2	Human 1	4, 8, 9, 15
4	4	1	it	13	9	1	Human 1	10, 13, 16, 18
4	4	1	out	9	15	1	Human 1	4, 9, 15, 18
4	4	1	people	9	12	1	Human 1	4, 9, 13, 15
4	3	1	that's	14	7	1	Human 2	11, 14, 15, 17
4	4	1	things	7	10	1	Human 1	2, 7, 9, 11
4	4	1	year	4	7	2	Human 2	1, 3, 4, 7
3	3	1	company	11	4	1	Human 1	10, 11, 13
3	3	1	family	3	11	1	Human 1	2, 3, 12
3	1	1	idea	7	4	2	Human 1	4, 6, 7
3	3	1	new	17	14	2	Human 1	4, 12, 17
3	3	1	right	15	6	1	Human 1	12, 15, 17
3	3	1	there	13	4	1	Human 1	12, 13, 15
3	3	1	what	12	13	1	Human 2	1, 12, 13
2	2	1	about	15	4	1	Human 1	12, 15
2	2	1	back	5	4	1	Human 1	2, 5
2	2	1	bigger	9	2	1	Human 1	8, 9
2	2	1	busy	12	10	1	Human 2	3, 12
2	2	1	by	16	12	1	Human 2	5, 16
2	2	1	challenges	9	2	1	Human 1	8, 9
2	2	1	come	9	4	1	Human 1	6, 9
2	2	1	don't	5	4	1	Human 1	2, 5
2	2	1	first	11	2	1	Human 1	10, 11
2	2	1	from	17	8	1	Human 1	10, 17
2	2	1	keep	13	2	1	Human 1	12, 13
2	2	1	life	3	2	1	Human 1	2, 3
2	2	1	me	7	6	1	Human 1	2, 7
2	2	1	my	10	8	1	Human 2	3, 10
2	2	1	not	17	2	1	Human 1	16, 17
2	2	1	now	11	2	1	Human 1	10, 11
2	2	1	time	11	10	1	Human 1	2, 11
2	2	1	too	7	6	1	Human 1	2, 7
2	2	1	up	13	8	1	Human 1	6, 13

