Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
2	2	7	, but i'm terrible at it .	5	2	1	Human 1	4, 5
2	2	5	. would you prefer to	5	2	1	Human 1	4, 5
2	2	4	i like to read	13	4	1	Human 1	10, 13
3	1	3	like to read	11	4	1	Human 1	10, 11, 13
2	2	3	i'm not much	9	2	1	Human 1	8, 9
4	1	2	like to	11	6	2	Human 1	8, 10, 11, 13
4	2	2	would you	6	8	1	Human 1	4, 5, 6, 11
3	3	2	i think	5	4	1	Human 1	4, 5, 7
3	3	2	it's fun	5	4	1	Human 1	4, 5, 7
2	2	2	. i	10	6	1	Human 2	5, 10
2	2	2	hi !	1	2	1	Human 1	0, 1
2	2	2	it ?	13	8	1	Human 1	6, 13
2	2	2	read ?	12	2	1	Human 2	11, 12
2	2	2	some friends	5	4	1	Human 1	2, 5
2	2	2	to play	5	2	1	Human 1	4, 5
10	8	1	you	2	12	1	Human 2	1, 2, 3, 4, 5, 6, 7, 9, 11, 12
9	6	1	i'm	3	12	1	Human 1	2, 3, 4, 5, 6, 7, 8, 9, 13
6	6	1	a	13	12	5	Human 1	2, 4, 6, 8, 10, 13
6	2	1	it	7	10	1	Human 1	4, 5, 6, 7, 9, 13
5	2	1	it's	8	7	1	Human 1	4, 5, 7, 8, 10
5	1	1	would	7	8	1	Human 1	4, 5, 6, 7, 11
4	2	1	but	8	6	1	Human 1	4, 5, 8, 9
4	2	1	friends	3	4	1	Human 1	2, 3, 4, 5
4	1	1	fun	10	7	1	Human 1	4, 5, 7, 10
4	1	1	like	11	6	2	Human 1	8, 10, 11, 13
4	3	1	play	5	6	1	Human 1	4, 5, 7, 9
3	3	1	book	11	4	1	Human 1	10, 11, 13
3	3	1	for	2	10	1	Human 2	1, 2, 10
3	3	1	getting	7	4	1	Human 1	6, 7, 9
3	1	1	hi	3	4	1	Human 1	0, 1, 3
3	3	1	the	10	12	1	Human 2	1, 10, 12
3	1	1	think	5	4	1	Human 1	4, 5, 7
3	3	1	what's	12	5	1	Human 2	9, 12, 13
3	3	1	with	4	3	1	Human 2	3, 4, 5
2	2	1	anything	9	6	1	Human 1	4, 9
2	2	1	are	10	10	1	Human 2	1, 10
2	2	1	called	13	4	1	Human 1	10, 13
2	2	1	game	5	4	1	Human 1	2, 5
2	2	1	good	13	2	1	Human 1	12, 13
2	2	1	into	9	2	1	Human 1	8, 9
2	2	1	soccer	5	4	1	Human 1	2, 5
2	2	1	what	11	10	1	Human 1	2, 11
2	2	1	yes	7	4	1	Human 1	4, 7

