Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	3	oh that is	3	Human 1	4, 6
3	2	i like	7	Human 1	8, 12, 14
2	2	! what	7	Human 1	4, 10
2	2	a lot	7	Human 1	8, 14
2	2	of tea	3	Human 1	8, 10
5	1	i	9	Human 1	6, 8, 10, 12, 14
4	1	that	11	Human 1	4, 6, 8, 14
3	1	a	9	Human 1	6, 8, 14
3	1	is	7	Human 1	4, 6, 10
3	1	like	7	Human 1	8, 12, 14
3	1	of	7	Human 1	8, 10, 14
3	1	the	7	Human 1	8, 10, 14
3	1	to	5	Human 1	6, 8, 10
3	1	you	11	Human 1	4, 8, 14
3	1	your	9	Human 1	2, 8, 10
2	1	all	7	Human 1	8, 14
2	1	are	9	Human 1	4, 12
2	1	class	3	Human 1	4, 6
2	1	different	7	Human 1	8, 14
2	1	from	7	Human 1	6, 12
2	1	it	9	Human 1	6, 14
2	1	pottery	3	Human 1	6, 8
2	1	some	3	Human 1	6, 8
2	1	tea	3	Human 1	8, 10
2	1	teas	3	Human 1	12, 14
2	1	time	3	Human 1	4, 6

