Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	3	, but i'm	3	Human 2	3, 5
2	3	, i don't	7	Human 2	5, 11
2	3	and ready to	3	Human 2	3, 5
2	3	i don't have	3	Human 2	3, 5
2	3	i'm phi ,	9	Human 2	3, 11
2	3	weight lifting ,	5	Human 2	9, 13
4	2	, i	9	Human 2	5, 7, 11, 13
2	2	gym activities	7	Human 2	7, 13
2	2	i am	7	Human 2	7, 13
2	2	i can't	7	Human 2	7, 13
2	2	language model	9	Human 2	3, 11
6	1	i	11	Human 2	3, 5, 7, 9, 11, 13
5	1	and	9	Human 2	3, 5, 7, 9, 11
5	1	or	11	Human 2	3, 5, 7, 9, 13
5	1	to	9	Human 2	3, 5, 7, 9, 11
4	1	don't	9	Human 2	3, 5, 7, 11
4	1	gym	7	Human 2	7, 9, 11, 13
3	1	have	7	Human 2	3, 5, 9
3	1	phi	9	Human 2	3, 7, 11
2	1	ai	9	Human 2	3, 11
2	1	an	3	Human 2	3, 5
2	1	any	5	Human 2	9, 13
2	1	as	7	Human 2	5, 11
2	1	days	3	Human 2	3, 5
2	1	feelings	3	Human 2	3, 5
2	1	fully	9	Human 2	5, 13
2	1	physically	3	Human 2	11, 13
2	1	questions	5	Human 2	5, 9
2	1	workouts	3	Human 2	7, 9
2	1	you	5	Human 2	5, 9

