Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
2	2	4	you like to do	7	2	1	Human 1	6, 7
2	2	4	you like to eat	15	6	1	Human 1	10, 15
4	2	3	like to eat	11	6	1	Human 1	10, 11, 13, 15
3	1	3	like to do	9	4	1	Human 1	6, 7, 9
2	2	3	. what else	7	2	1	Human 1	6, 7
2	2	3	in san mateo	17	2	1	Human 1	16, 17
4	1	2	to do	8	4	1	Human 1	6, 7, 8, 9
3	1	2	. what	7	4	2	Human 1	4, 6, 7
3	3	2	code refactoring	5	4	1	Human 1	4, 5, 7
3	3	2	i like	14	6	2	Human 2	9, 11, 14
2	2	2	a lot	17	4	1	Human 1	14, 17
2	2	2	are you	7	6	1	Human 1	2, 7
2	2	2	i love	17	2	1	Human 1	16, 17
2	2	2	what food	15	6	1	Human 1	10, 15
2	2	2	work .	9	6	1	Human 1	4, 9
10	6	1	you	3	17	1	Human 1	2, 3, 6, 7, 9, 10, 11, 13, 15, 18
9	2	1	like	12	10	1	Human 1	6, 7, 9, 10, 11, 12, 13, 14, 15
9	3	1	to	7	14	2	Human 1	2, 6, 7, 8, 9, 10, 11, 13, 15
8	5	1	i	14	15	5	Human 2	3, 5, 7, 9, 11, 14, 16, 17
8	4	1	what	7	16	3	Human 1	2, 4, 6, 7, 9, 10, 15, 17
6	4	1	are	3	8	1	Human 1	2, 3, 5, 7, 8, 9
6	4	1	work	5	8	1	Human 1	4, 5, 6, 7, 9, 11
5	2	1	do	7	5	1	Human 1	6, 7, 8, 9, 10
5	4	1	food	11	8	1	Human 1	10, 11, 13, 15, 17
5	3	1	in	8	13	2	Human 2	5, 7, 8, 16, 17
4	2	1	a	14	15	2	Human 2	3, 13, 14, 17
3	3	1	it	6	7	1	Human 2	5, 6, 11
2	2	1	at	5	2	1	Human 1	4, 5
2	2	1	hi	1	2	1	Human 1	0, 1
2	2	1	just	13	10	1	Human 1	4, 13
2	2	1	szechuan	13	2	1	Human 1	12, 13
2	2	1	these	9	2	1	Human 1	8, 9
2	2	1	things	9	2	1	Human 1	8, 9

