Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	7	like to eat food . but you	3	Human 2	11, 13
3	3	like to eat	5	Human 2	11, 13, 15
2	3	i like to	3	Human 2	9, 11
2	3	like to do	3	Human 2	7, 9
2	3	you like to	9	Human 2	7, 15
2	2	are doing	5	Human 2	5, 9
2	2	code refactoring	3	Human 2	5, 7
2	2	i work	3	Human 2	5, 7
2	2	time .	5	Human 2	3, 7
2	2	what what	3	Human 2	15, 17
2	2	you are	7	Human 2	3, 9
6	1	i	15	Human 2	3, 5, 7, 9, 11, 17
6	1	you	13	Human 2	3, 7, 9, 11, 13, 15
5	1	to	9	Human 2	7, 9, 11, 13, 15
4	1	are	7	Human 2	3, 5, 7, 9
4	1	food	7	Human 2	11, 13, 15, 17
4	1	what	11	Human 2	7, 9, 15, 17
4	1	work	7	Human 2	5, 7, 9, 11
3	1	a	15	Human 2	3, 13, 17
3	1	in	13	Human 2	5, 7, 17
2	1	doing	5	Human 2	5, 9
2	1	it	7	Human 2	5, 11

