Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	5	. how about you ?	5	Human 2	5, 9
3	3	. how about	7	Human 2	3, 5, 9
3	3	i live in	5	Human 2	5, 7, 9
2	3	went to the	3	Human 2	13, 15
2	2	! i	5	Human 2	3, 7
2	2	. the	3	Human 2	13, 15
2	2	in the	7	Human 2	7, 13
6	1	i	13	Human 2	3, 5, 7, 9, 13, 15
5	1	in	11	Human 2	3, 5, 7, 9, 13
5	1	the	9	Human 2	7, 9, 11, 13, 15
5	1	was	9	Human 2	7, 9, 11, 13, 15
4	1	and	7	Human 2	9, 11, 13, 15
4	1	to	11	Human 2	5, 11, 13, 15
3	1	a	7	Human 2	5, 7, 11
3	1	are	13	Human 2	3, 13, 15
3	1	good	5	Human 2	3, 5, 7
3	1	it	11	Human 2	1, 5, 11
3	1	nice	7	Human 2	5, 7, 11
3	1	went	5	Human 2	11, 13, 15
3	1	you	7	Human 2	3, 5, 9
2	1	all	3	Human 2	13, 15
2	1	also	3	Human 2	13, 15
2	1	food	9	Human 2	5, 13
2	1	got	11	Human 2	3, 13
2	1	hot	3	Human 2	9, 11
2	1	it's	3	Human 2	3, 5
2	1	lands	3	Human 2	13, 15
2	1	there	3	Human 2	13, 15
2	1	time	3	Human 2	7, 9
2	1	tokyo	5	Human 2	11, 15
2	1	which	9	Human 2	5, 13

