Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
2	2	4	beach season is coming	7	4	1	Human 1	4, 7
2	2	4	i have heard that	13	2	1	Human 1	12, 13
2	2	4	never heard of such	11	2	1	Human 1	10, 11
2	2	4	what did you do	5	2	1	Human 1	4, 5
2	2	4	work near the water	11	4	1	Human 1	8, 11
4	2	2	i have	13	6	2	Human 1	10, 12, 13, 15
3	3	2	! i	10	8	1	Human 2	7, 10, 14
3	3	2	have never	14	5	1	Human 2	11, 14, 15
3	1	2	heard that	15	4	1	Human 1	12, 13, 15
3	3	2	kind of	11	4	2	Human 1	8, 10, 11
3	1	2	never heard	15	6	1	Human 1	10, 11, 15
3	3	2	sounds like	9	5	1	Human 1	8, 9, 12
3	3	2	the beach	6	11	1	Human 2	5, 6, 15
2	2	2	! just	3	2	1	Human 1	2, 3
2	2	2	! this	13	4	1	Human 1	10, 13
2	2	2	, but	15	4	1	Human 1	12, 15
2	2	2	i see	13	6	1	Human 1	8, 13
2	2	2	just went	5	4	1	Human 1	2, 5
2	2	2	on the	12	6	1	Human 2	7, 12
2	2	2	you ?	7	6	1	Human 1	2, 7
10	5	1	the	3	14	1	Human 1	2, 3, 5, 6, 7, 8, 11, 12, 13, 15
9	3	1	i	8	13	2	Human 2	3, 7, 8, 10, 11, 12, 13, 14, 15
9	8	1	you	5	14	2	Human 1	2, 4, 5, 7, 8, 9, 11, 13, 15
8	3	1	beach	9	12	1	Human 1	4, 5, 6, 7, 9, 11, 13, 15
7	4	1	like	11	8	1	Human 1	8, 9, 11, 12, 13, 14, 15
6	4	1	work	7	8	1	Human 1	6, 7, 8, 10, 11, 13
5	5	1	and	14	11	3	Human 2	5, 7, 13, 14, 15
4	4	1	all	5	10	1	Human 1	4, 5, 10, 13
4	4	1	dangerous	15	6	3	Human 1	10, 12, 14, 15
4	4	1	day	4	7	2	Human 2	1, 3, 4, 7
4	4	1	good	3	6	1	Human 1	2, 3, 5, 7
4	2	1	is	10	9	1	Human 1	4, 7, 10, 12
4	4	1	it's	3	10	1	Human 1	2, 3, 5, 11
4	1	1	of	11	6	3	Human 1	6, 8, 10, 11
4	1	1	that	12	5	1	Human 2	11, 12, 13, 15
3	3	1	are	8	9	1	Human 2	7, 8, 15
3	1	1	but	13	4	1	Human 1	12, 13, 15
3	3	1	fall	13	4	1	Human 1	12, 13, 15
3	3	1	mountain	13	4	1	Human 1	12, 13, 15
3	3	1	not	13	4	1	Human 1	12, 13, 15
3	1	1	on	14	8	1	Human 2	7, 12, 14
3	3	1	pretty	7	9	1	Human 1	6, 7, 14
3	1	1	went	3	4	1	Human 1	2, 3, 5
3	3	1	when	13	4	1	Human 1	12, 13, 15
3	3	1	your	6	6	2	Human 2	1, 5, 6
2	2	1	actually	15	2	1	Human 1	14, 15
2	2	1	amateur	15	2	1	Human 1	14, 15
2	2	1	climb	14	2	1	Human 2	13, 14
2	2	1	climbing	15	2	1	Human 1	14, 15
2	2	1	down	13	2	1	Human 1	12, 13
2	2	1	funny	11	6	1	Human 1	6, 11
2	2	1	haha	9	6	1	Human 1	4, 9
2	2	1	hi	7	8	1	Human 1	0, 7
2	2	1	things	11	6	1	Human 1	6, 11
2	1	1	this	13	4	1	Human 1	10, 13
2	2	1	yes	12	2	1	Human 2	11, 12
2	2	1	yourself	15	2	1	Human 1	14, 15

