Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	3	like to do	7	Human 1	6, 12
2	3	to finish up	3	Human 1	2, 4
2	2	a couple	5	Human 1	4, 8
2	2	do you	3	Human 1	4, 6
2	2	long distances	5	Human 1	8, 12
2	2	run a	5	Human 1	8, 12
5	1	to	11	Human 1	2, 4, 6, 8, 12
4	1	a	13	Human 1	4, 8, 12, 16
3	1	i	11	Human 1	4, 12, 14
3	1	run	7	Human 1	8, 12, 14
3	1	you	5	Human 1	2, 4, 6
2	1	for	3	Human 1	4, 6
2	1	fun	3	Human 1	4, 6
2	1	haha	5	Human 1	6, 10
2	1	have	9	Human 1	4, 12
2	1	marathons	3	Human 1	12, 14
2	1	not	7	Human 1	8, 14
2	1	of	13	Human 1	2, 14
2	1	one	3	Human 1	14, 16

