Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	3	virtual reality is	3	Human 1	8, 10
3	2	virtual reality	5	Human 1	6, 8, 10
2	2	based on	3	Human 1	8, 10
2	2	i am	11	Human 1	2, 12
2	2	you ?	7	Human 1	2, 8
6	1	a	13	Human 1	2, 6, 8, 10, 12, 14
4	1	the	11	Human 1	4, 10, 12, 14
3	1	book	13	Human 1	2, 6, 14
3	1	is	7	Human 1	8, 10, 14
3	1	of	9	Human 1	4, 6, 12
3	1	to	5	Human 1	8, 10, 12
2	1	about	5	Human 1	2, 6
2	1	alien	3	Human 1	8, 10
2	1	and	5	Human 1	6, 10
2	1	ever	11	Human 1	4, 14
2	1	good	13	Human 1	2, 14
2	1	i	11	Human 1	2, 12
2	1	it	5	Human 1	4, 8
2	1	it's	5	Human 1	2, 6
2	1	on	3	Human 1	8, 10
2	1	there	5	Human 1	8, 12
2	1	you	7	Human 1	2, 8

