Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	7	. we did not see any of	5	Human 2	7, 11
2	3	around the world	5	Human 2	11, 15
2	3	for the holidays	3	Human 2	3, 5
3	2	. we	7	Human 2	7, 11, 13
3	2	have been	7	Human 2	9, 13, 15
2	2	. i	7	Human 2	3, 9
2	2	i am	5	Human 2	3, 7
2	2	i have	9	Human 2	3, 11
2	2	the family	5	Human 2	5, 9
2	2	with my	3	Human 2	9, 11
2	2	you ?	3	Human 2	1, 3
7	1	have	13	Human 2	3, 5, 7, 9, 11, 13, 15
7	1	the	13	Human 2	3, 5, 7, 9, 11, 13, 15
5	1	i	13	Human 2	3, 7, 9, 11, 15
5	1	with	9	Human 2	5, 7, 9, 11, 13
5	1	you	13	Human 2	1, 3, 5, 9, 13
4	1	family	7	Human 2	5, 7, 9, 11
4	1	we	7	Human 2	7, 9, 11, 13
3	1	and	5	Human 2	11, 13, 15
3	1	did	7	Human 2	7, 11, 13
3	1	just	7	Human 2	5, 9, 11
3	1	not	9	Human 2	7, 11, 15
3	1	of	9	Human 2	3, 7, 11
3	1	only	5	Human 2	9, 11, 13
3	1	that	5	Human 2	9, 11, 13
3	1	to	11	Human 2	3, 7, 13
2	1	all	3	Human 2	13, 15
2	1	always	5	Human 2	5, 9
2	1	are	13	Human 2	1, 13
2	1	but	13	Human 2	3, 15
2	1	christmas	5	Human 2	5, 9
2	1	how	9	Human 2	1, 9
2	1	nice	3	Human 2	13, 15
2	1	volunteer	3	Human 2	13, 15

