Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	24	they must have been doing volunteer projects all over the world and uganda was just one of them using non-profit organization not for only	3	Human 2	13, 15
2	5	i'm just an ai ,	3	Human 2	3, 5
2	4	i don't have personal	3	Human 2	3, 5
2	3	where did you	3	Human 2	7, 9
4	1	the	9	Human 2	7, 9, 13, 15
4	1	uganda	7	Human 2	9, 11, 13, 15
4	1	you	9	Human 2	1, 3, 7, 9
3	1	for	9	Human 2	7, 13, 15
3	1	holidays	5	Human 2	3, 5, 7
3	1	was	5	Human 2	11, 13, 15
2	1	how	11	Human 2	1, 11
2	1	i	3	Human 2	3, 5
2	1	i'm	3	Human 2	3, 5
2	1	or	3	Human 2	3, 5

