Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	3	, but the	11	Human 2	3, 13
2	3	about you ?	7	Human 2	5, 11
2	3	is great ,	5	Human 2	3, 7
2	3	like spicy food	3	Human 2	11, 13
2	3	what about you	3	Human 2	9, 11
3	2	spicy food	5	Human 2	9, 11, 13
2	2	. what	3	Human 2	11, 13
2	2	chinese food	3	Human 2	7, 9
2	2	i love	5	Human 2	9, 13
2	2	your favorite	5	Human 2	9, 13
5	1	i	9	Human 2	5, 7, 9, 11, 13
5	1	you	9	Human 2	5, 7, 9, 11, 13
4	1	about	7	Human 2	5, 7, 9, 11
4	1	food	7	Human 2	7, 9, 11, 13
3	1	great	5	Human 2	3, 5, 7
3	1	the	11	Human 2	3, 7, 13
3	1	what	5	Human 2	9, 11, 13
3	1	your	11	Human 2	3, 9, 13
2	1	and	5	Human 2	5, 9
2	1	cafe	3	Human 2	5, 7
2	1	good	3	Human 2	11, 13
2	1	has	3	Human 2	11, 13
2	1	have	3	Human 2	11, 13
2	1	hey	5	Human 2	1, 5
2	1	is	5	Human 2	3, 7
2	1	my	9	Human 2	5, 13
2	1	right	3	Human 2	5, 7

