Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
2	2	4	but i'm happy to	11	6	1	Human 1	6, 11
2	2	4	for the holidays and	5	2	1	Human 1	4, 5
2	2	4	i just want to	5	2	1	Human 1	4, 5
5	3	3	for the holidays	6	5	1	Human 1	4, 5, 6, 7, 8
3	3	3	. i was	7	9	1	Human 1	4, 7, 12
2	2	3	! i know	11	6	1	Human 1	6, 11
7	2	2	the holidays	9	8	1	Human 1	4, 5, 6, 7, 8, 9, 11
6	1	2	for the	12	9	1	Human 1	4, 5, 6, 7, 8, 12
4	4	2	, but	9	12	1	Human 1	6, 9, 14, 17
4	1	2	. i	14	11	1	Human 1	4, 7, 12, 14
3	1	2	! i	14	9	1	Human 1	6, 11, 14
3	1	2	happy to	7	6	1	Human 1	6, 7, 11
3	3	2	i like	15	4	1	Human 1	14, 15, 17
3	3	2	to relax	5	6	1	Human 1	4, 5, 9
2	2	2	. how	3	2	1	Human 1	2, 3
2	2	2	i have	9	2	1	Human 1	8, 9
2	2	2	stay home	11	6	1	Human 1	6, 11
2	2	2	yes !	11	2	1	Human 1	10, 11
12	4	1	i	7	15	1	Human 1	4, 5, 6, 7, 8, 9, 11, 12, 14, 15, 17, 18
12	5	1	the	4	17	1	Human 2	1, 4, 5, 6, 7, 8, 9, 11, 12, 14, 15, 17
9	8	1	and	4	15	1	Human 2	3, 4, 5, 7, 9, 10, 11, 14, 17
9	4	1	but	6	13	1	Human 2	5, 6, 7, 8, 9, 11, 14, 15, 17
8	2	1	for	2	12	1	Human 2	1, 2, 4, 5, 6, 7, 8, 12
7	3	1	to	5	11	1	Human 1	4, 5, 6, 7, 9, 11, 14
6	6	1	a	4	16	1	Human 2	3, 4, 6, 12, 14, 18
6	6	1	tree	13	9	2	Human 1	10, 12, 13, 14, 15, 18
5	3	1	have	8	12	1	Human 2	5, 8, 9, 13, 16
5	5	1	is	10	8	1	Human 2	9, 10, 12, 14, 16
5	3	1	just	11	14	1	Human 1	4, 5, 11, 14, 17
4	2	1	home	6	9	1	Human 2	3, 6, 7, 11
4	2	1	i'm	6	9	1	Human 2	3, 6, 9, 11
4	1	1	like	15	6	2	Human 1	12, 14, 15, 17
4	4	1	very	11	13	2	Human 1	2, 10, 11, 14
4	4	1	well	3	6	1	Human 1	2, 3, 5, 7
4	4	1	with	9	14	1	Human 1	4, 9, 14, 17
3	3	1	christmas	17	8	2	Human 1	10, 14, 17
3	3	1	day	2	3	1	Human 2	1, 2, 3
3	3	1	going	4	7	1	Human 2	1, 4, 7
3	1	1	how	13	12	1	Human 1	2, 3, 13
3	3	1	it	14	9	1	Human 2	9, 14, 17
3	1	1	know	7	6	1	Human 1	6, 7, 11
3	3	1	lights	13	8	1	Human 1	10, 13, 17
3	3	1	of	17	14	2	Human 1	4, 6, 17
3	3	1	real	17	6	2	Human 1	12, 14, 17
3	3	1	sick	5	4	1	Human 1	4, 5, 7
3	1	1	stay	11	8	2	Human 1	4, 6, 11
3	3	1	that	12	7	1	Human 2	11, 12, 17
3	3	1	you	4	16	1	Human 2	3, 4, 18
2	2	1	also	9	2	1	Human 1	8, 9
2	2	1	around	9	6	1	Human 1	4, 9
2	2	1	been	5	4	1	Human 1	2, 5
2	2	1	can	12	2	1	Human 2	11, 12
2	2	1	do	14	6	1	Human 2	9, 14
2	2	1	eco-friendly	13	4	1	Human 1	10, 13
2	2	1	glad	9	6	1	Human 1	4, 9
2	2	1	having	14	12	1	Human 2	3, 14
2	2	1	my	16	10	1	Human 2	7, 16
2	2	1	oh	14	14	1	Human 2	1, 14
2	2	1	out	14	6	1	Human 2	9, 14
2	2	1	they	17	2	1	Human 1	16, 17
2	2	1	trees	17	4	1	Human 1	14, 17
2	2	1	were	7	4	1	Human 1	4, 7
2	2	1	your	13	12	1	Human 1	2, 13

