Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	3	are you doing	3	Human 2	1, 3
2	3	what are you	5	Human 2	3, 7
3	2	but it's	7	Human 2	9, 11, 15
2	2	happy ending	3	Human 2	15, 17
2	2	it's not	3	Human 2	15, 17
2	2	to enjoy	3	Human 2	7, 9
6	1	you	17	Human 2	1, 3, 5, 7, 9, 17
5	1	it's	11	Human 2	7, 9, 11, 15, 17
4	1	but	9	Human 2	7, 9, 11, 15
4	1	i	13	Human 2	5, 9, 11, 17
4	1	that	13	Human 2	5, 7, 9, 17
3	1	doing	7	Human 2	1, 3, 7
3	1	the	11	Human 2	7, 15, 17
3	1	what	9	Human 2	3, 7, 11
2	1	i'm	3	Human 2	7, 9
2	1	like	3	Human 2	9, 11
2	1	to	3	Human 2	7, 9
2	1	watched	5	Human 2	11, 15
2	1	work	3	Human 2	7, 9
2	1	yeah	3	Human 2	9, 11
2	1	yes	11	Human 2	5, 15

