Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
2	2	2	, but	12	8	1	Human 2	5, 12
2	2	2	bay area	11	2	1	Human 1	10, 11
2	2	2	still in	11	2	1	Human 1	10, 11
2	2	2	weekend !	6	2	1	Human 2	5, 6
6	6	1	you	4	11	1	Human 2	3, 4, 5, 6, 11, 13
5	3	1	in	10	11	2	Human 2	3, 9, 10, 11, 13
5	5	1	the	12	13	3	Human 2	1, 9, 11, 12, 13
5	5	1	to	8	11	2	Human 2	3, 5, 8, 11, 13
4	2	1	area	10	5	1	Human 2	9, 10, 11, 13
4	4	1	i	8	9	1	Human 2	5, 8, 11, 13
4	4	1	that	12	11	2	Human 2	3, 7, 12, 13
4	2	1	weekend	2	6	1	Human 2	1, 2, 5, 6
3	3	1	a	6	7	1	Human 2	3, 6, 9
3	3	1	might	11	12	1	Human 1	2, 11, 13
3	3	1	very	7	4	2	Human 1	4, 6, 7
3	3	1	your	6	9	1	Human 2	5, 6, 13
2	2	1	are	3	2	1	Human 1	2, 3
2	2	1	diablo	9	2	1	Human 1	8, 9
2	2	1	for	12	12	1	Human 2	1, 12
2	2	1	here	10	6	1	Human 2	5, 10
2	2	1	it	12	6	1	Human 2	7, 12

