Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	2	! but	5	Human 2	3, 7
2	2	, but	7	Human 2	9, 15
2	2	, i	5	Human 2	3, 7
2	2	a lot	7	Human 2	7, 13
2	2	all the	3	Human 2	5, 7
2	2	delicious .	3	Human 2	13, 15
2	2	fun and	3	Human 2	13, 15
2	2	i did	13	Human 2	3, 15
2	2	it was	5	Human 2	3, 7
2	2	the family	3	Human 2	11, 13
2	2	turkey was	7	Human 2	9, 15
2	2	was pretty	3	Human 2	3, 5
2	2	was very	9	Human 2	7, 15
5	1	the	11	Human 2	5, 7, 11, 13, 15
5	1	was	13	Human 2	3, 5, 7, 9, 15
4	1	and	11	Human 2	5, 7, 13, 15
4	1	turkey	11	Human 2	5, 9, 13, 15
3	1	did	13	Human 2	3, 9, 15
3	1	family	5	Human 2	9, 11, 13
3	1	fun	13	Human 2	3, 13, 15
3	1	that	13	Human 2	3, 11, 15
3	1	very	13	Human 2	3, 7, 15
2	1	always	3	Human 2	11, 13
2	1	got	5	Human 2	9, 13
2	1	had	7	Human 2	7, 13
2	1	haha	5	Human 2	9, 13
2	1	it	5	Human 2	3, 7
2	1	last	9	Human 2	5, 13
2	1	like	3	Human 2	7, 9
2	1	my	9	Human 2	5, 13
2	1	not	13	Human 2	3, 15
2	1	of	5	Human 2	7, 11
2	1	thanksgiving	3	Human 2	11, 13
2	1	to	3	Human 2	7, 9
2	1	with	3	Human 2	11, 13
2	1	you	3	Human 2	9, 11

