Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	4	and this is the	3	Human 2	5, 7
2	2	i have	5	Human 2	3, 7
2	2	never seen	7	Human 2	11, 17
2	2	yoda yoda	3	Human 2	11, 13
2	2	yoda you	3	Human 2	11, 13
2	2	you ?	3	Human 2	7, 9
8	1	you	15	Human 2	3, 5, 7, 9, 11, 13, 15, 17
4	1	and	13	Human 2	5, 7, 13, 17
3	1	have	15	Human 2	3, 7, 17
3	1	i	9	Human 2	3, 7, 11
3	1	your	15	Human 2	1, 13, 15
2	1	a	13	Human 2	5, 17
2	1	are	13	Human 2	5, 17
2	1	baby	3	Human 2	11, 13
2	1	friends	5	Human 2	3, 7
2	1	i'm	7	Human 2	3, 9
2	1	meet	3	Human 2	3, 5
2	1	new	3	Human 2	5, 7
2	1	now	5	Human 2	13, 17
2	1	that	5	Human 2	13, 17
2	1	to	5	Human 2	3, 7
2	1	year	3	Human 2	5, 7

