Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	2	, but	13	Human 2	3, 15
2	2	bots that	3	Human 2	7, 9
2	2	some are	9	Human 2	5, 13
2	2	the ai	5	Human 2	11, 15
2	2	they have	5	Human 2	5, 9
6	1	the	13	Human 2	3, 5, 9, 11, 13, 15
5	1	are	11	Human 2	5, 9, 11, 13, 15
5	1	have	9	Human 2	3, 5, 7, 9, 11
4	1	some	11	Human 2	3, 5, 7, 13
4	1	that	9	Human 2	7, 9, 11, 15
4	1	you	13	Human 2	3, 9, 13, 15
3	1	a	11	Human 2	5, 9, 15
3	1	and	5	Human 2	9, 11, 13
3	1	bots	5	Human 2	7, 9, 11
3	1	but	13	Human 2	3, 5, 15
3	1	can	5	Human 2	9, 11, 13
3	1	even	5	Human 2	9, 11, 13
3	1	like	9	Human 2	7, 9, 15
3	1	on	11	Human 2	3, 11, 13
3	1	they	7	Human 2	3, 5, 9
3	1	to	9	Human 2	3, 9, 11
3	1	up	15	Human 2	1, 13, 15
2	1	chat	5	Human 2	3, 7
2	1	funny	7	Human 2	9, 15
2	1	good	3	Human 2	13, 15
2	1	of	9	Human 2	7, 15
2	1	think	5	Human 2	11, 15
2	1	with	3	Human 2	13, 15

