Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	4	do you have any	3	Human 1	2, 4
2	2	have you	5	Human 1	8, 12
2	2	of friends	7	Human 1	8, 14
6	1	you	15	Human 1	2, 4, 8, 12, 14, 16
4	1	have	11	Human 1	2, 4, 8, 12
3	1	a	5	Human 1	10, 12, 14
3	1	for	9	Human 1	2, 4, 10
3	1	of	7	Human 1	8, 12, 14
3	1	to	5	Human 1	12, 14, 16
2	1	already	5	Human 1	6, 10
2	1	and	9	Human 1	4, 12
2	1	i	5	Human 1	4, 8
2	1	is	7	Human 1	6, 12
2	1	it	7	Human 1	8, 14
2	1	nice	5	Human 1	12, 16
2	1	seen	3	Human 1	6, 8
2	1	should	7	Human 1	8, 14
2	1	try	7	Human 1	8, 14
2	1	with	5	Human 1	10, 14

