Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
2	2	4	indoors all day ?	5	2	1	Human 1	4, 5
2	2	3	very interesting !	13	4	1	Human 1	10, 13
3	3	2	haha ,	5	4	1	Human 1	4, 5, 7
3	3	2	like you	8	7	1	Human 2	3, 8, 9
2	2	2	, but	12	2	1	Human 2	11, 12
2	2	2	that .	13	2	1	Human 1	12, 13
8	8	1	i	8	11	1	Human 2	5, 8, 9, 10, 11, 12, 14, 15
8	8	1	the	3	12	1	Human 1	2, 3, 6, 8, 9, 11, 12, 13
7	7	1	to	9	13	3	Human 1	2, 4, 6, 9, 11, 13, 14
6	6	1	have	10	11	1	Human 2	5, 10, 12, 13, 14, 15
6	3	1	like	12	12	1	Human 2	3, 8, 9, 12, 13, 14
5	5	1	dangerous	11	5	1	Human 1	10, 11, 12, 13, 14
5	5	1	i'm	14	13	3	Human 2	3, 5, 9, 14, 15
5	5	1	just	5	14	1	Human 1	2, 5, 7, 9, 15
5	5	1	work	7	6	1	Human 1	6, 7, 8, 10, 11
5	3	1	you	3	8	1	Human 1	2, 3, 4, 8, 9
4	2	1	all	10	8	1	Human 1	4, 5, 10, 11
4	4	1	and	14	8	3	Human 2	7, 9, 11, 14
4	2	1	but	12	7	2	Human 2	9, 11, 12, 15
4	4	1	it	11	7	2	Human 1	8, 10, 11, 14
4	4	1	of	11	6	3	Human 1	6, 8, 10, 11
3	1	1	day	4	5	1	Human 2	1, 4, 5
3	3	1	on	12	8	1	Human 2	7, 12, 14
3	1	1	that	12	7	1	Human 2	7, 12, 13
3	3	1	their	12	10	2	Human 2	3, 9, 12
2	2	1	actually	15	2	1	Human 1	14, 15
2	2	1	climb	15	2	1	Human 1	14, 15
2	2	1	do	9	6	1	Human 1	4, 9
2	2	1	it's	13	12	1	Human 1	2, 13
2	2	1	psychological	13	2	1	Human 1	12, 13
2	2	1	tan	7	4	1	Human 1	4, 7
2	2	1	that's	6	4	1	Human 2	3, 6
2	2	1	yes	13	2	1	Human 1	12, 13
2	2	1	your	6	6	1	Human 2	1, 6

