Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	2	. it's	7	Human 1	6, 12
2	2	is a	3	Human 1	12, 14
5	1	in	13	Human 1	2, 4, 10, 12, 14
3	1	is	9	Human 1	6, 12, 14
3	1	time	13	Human 1	2, 12, 14
3	1	you	11	Human 1	4, 12, 14
2	1	a	3	Human 1	12, 14
2	1	any	3	Human 1	2, 4
2	1	for	5	Human 1	10, 14
2	1	i	3	Human 1	4, 6
2	1	its	3	Human 1	8, 10
2	1	like	3	Human 1	6, 8
2	1	months	9	Human 1	4, 12
2	1	next	5	Human 1	10, 14
2	1	practice	3	Human 1	12, 14
2	1	the	9	Human 1	4, 12
2	1	training	3	Human 1	12, 14
2	1	we	3	Human 1	12, 14
2	1	which	7	Human 1	6, 12

