Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
5	5	1	that's	7	10	1	Human 1	6, 7, 9, 11, 15
4	4	1	is	8	9	1	Human 2	7, 8, 12, 15
4	4	1	it	11	11	2	Human 1	2, 8, 11, 12
4	4	1	kayaking	11	6	1	Human 1	10, 11, 13, 15
4	4	1	to	12	7	1	Human 2	9, 12, 13, 15
3	3	1	be	12	5	1	Human 2	9, 12, 13
3	3	1	football	7	4	1	Human 1	6, 7, 9
3	3	1	game	7	6	1	Human 1	4, 7, 9
3	3	1	what	11	8	2	Human 1	4, 8, 11
2	2	1	easy	15	4	1	Human 1	12, 15
2	2	1	i'm	10	6	1	Human 2	5, 10
2	2	1	it's	13	2	1	Human 1	12, 13
2	2	1	over	12	6	1	Human 2	7, 12
2	2	1	right	7	2	1	Human 1	6, 7
2	2	1	yeah	13	4	1	Human 1	10, 13

