Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	3	drive to disneyland	3	Human 2	5, 7
2	2	for the	5	Human 2	5, 9
6	1	for	13	Human 2	3, 5, 9, 11, 13, 15
5	1	the	13	Human 2	3, 5, 9, 13, 15
5	1	you	15	Human 2	1, 3, 11, 13, 15
4	1	i	13	Human 2	3, 5, 7, 15
2	1	and	3	Human 2	3, 5
2	1	but	9	Human 2	5, 13
2	1	full	3	Human 2	13, 15
2	1	have	11	Human 2	5, 15
2	1	not	5	Human 2	11, 15
2	1	take	3	Human 2	13, 15
2	1	there	3	Human 2	1, 3
2	1	they	7	Human 2	5, 11
2	1	to	3	Human 2	5, 7
2	1	want	9	Human 2	5, 13
2	1	will	5	Human 2	3, 7
2	1	yes	3	Human 2	9, 11

