Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	5	i'm just an ai and	11	Human 2	5, 15
3	3	i'm just an	11	Human 2	5, 11, 15
3	3	to help you	9	Human 2	5, 11, 13
2	3	, but i	9	Human 2	7, 15
2	3	, but i'd	3	Human 2	11, 13
2	3	assist you with	7	Human 2	9, 15
2	3	i'm just a	7	Human 2	7, 13
5	2	, but	11	Human 2	5, 7, 11, 13, 15
4	2	help you	9	Human 2	5, 7, 11, 13
3	2	and can't	5	Human 2	11, 13, 15
2	2	and don't	3	Human 2	5, 7
2	2	or make	3	Human 2	13, 15
7	1	and	13	Human 2	3, 5, 7, 9, 11, 13, 15
7	1	i'm	13	Human 2	3, 5, 7, 9, 11, 13, 15
7	1	you	15	Human 2	1, 5, 7, 9, 11, 13, 15
6	1	just	11	Human 2	5, 7, 9, 11, 13, 15
5	1	to	11	Human 2	3, 5, 9, 11, 13
4	1	a	11	Human 2	3, 5, 7, 13
3	1	or	5	Human 2	11, 13, 15
2	1	are	5	Human 2	1, 5
2	1	can	7	Human 2	9, 15
2	1	experience	7	Human 2	5, 11
2	1	how	9	Human 2	1, 9
2	1	of	11	Human 2	3, 13
2	1	that	7	Human 2	3, 9
2	1	vacation	3	Human 2	7, 9
2	1	your	3	Human 2	7, 9
2	1	zipline	7	Human 2	9, 15

