Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	5	what did you think of	3	Human 2	7, 9
2	3	have you seen	11	Human 2	1, 11
2	2	good looking	3	Human 2	13, 15
5	1	i	13	Human 2	3, 5, 11, 13, 15
5	1	you	11	Human 2	1, 5, 7, 9, 11
4	1	and	7	Human 2	5, 7, 9, 11
4	1	the	13	Human 2	3, 7, 9, 15
4	1	what	7	Human 2	5, 7, 9, 11
3	1	did	5	Human 2	5, 7, 9
3	1	good	15	Human 2	1, 13, 15
3	1	have	13	Human 2	1, 11, 13
3	1	lol	5	Human 2	11, 13, 15
3	1	movies	13	Human 2	1, 11, 13
3	1	think	9	Human 2	7, 9, 15
2	1	any	11	Human 2	1, 11
2	1	are	3	Human 2	9, 11
2	1	of	3	Human 2	7, 9
2	1	really	11	Human 2	3, 13
2	1	that	11	Human 2	3, 13
2	1	was	3	Human 2	3, 5

