Freq.	Size	Surface Form	Spanning	First Speaker	Turns
3	2	, i	7	Human 2	7, 11, 13
2	2	. i	5	Human 2	9, 13
2	2	a new	3	Human 2	11, 13
2	2	there are	3	Human 2	3, 5
5	1	to	11	Human 2	3, 7, 9, 11, 13
4	1	i	7	Human 2	7, 9, 11, 13
3	1	a	9	Human 2	5, 11, 13
3	1	are	5	Human 2	1, 3, 5
3	1	it's	9	Human 2	3, 7, 11
3	1	new	11	Human 2	3, 11, 13
3	1	the	7	Human 2	3, 5, 9
2	1	and	3	Human 2	5, 7
2	1	be	3	Human 2	5, 7
2	1	but	5	Human 2	5, 9
2	1	for	7	Human 2	5, 11
2	1	of	3	Human 2	3, 5
2	1	on	5	Human 2	7, 11
2	1	that	7	Human 2	3, 9
2	1	you	7	Human 2	1, 7

