Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	8	i'm doing great how are you doing ?	3	Human 2	3, 5
3	4	how are you doing	5	Human 2	1, 3, 5
3	3	i'm doing great	5	Human 2	3, 5, 7
2	2	tea person	3	Human 2	5, 7
6	1	you	15	Human 2	1, 3, 5, 7, 11, 15
5	1	doing	15	Human 2	1, 3, 5, 7, 15
4	1	and	9	Human 2	7, 11, 13, 15
4	1	great	11	Human 2	3, 5, 7, 13
3	1	have	9	Human 2	7, 11, 15
3	1	i	9	Human 2	7, 9, 15
2	1	done	3	Human 2	13, 15
2	1	haha	7	Human 2	7, 13
2	1	it's	3	Human 2	5, 7
2	1	like	9	Human 2	7, 15
2	1	tea	3	Human 2	5, 7

