Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	5	i'm here and ready to	5	Human 2	3, 7
3	3	and ready to	5	Human 2	3, 5, 7
3	3	i don't have	5	Human 2	3, 5, 7
2	3	, but i'm	3	Human 2	3, 5
4	2	i don't	9	Human 2	3, 5, 7, 11
2	2	, i	7	Human 2	5, 11
2	2	, i'm	7	Human 2	7, 13
2	2	information ,	5	Human 2	9, 13
2	2	questions or	5	Human 2	5, 9
2	2	while i	7	Human 2	7, 13
6	1	i'm	11	Human 2	3, 5, 7, 9, 11, 13
5	1	and	11	Human 2	3, 5, 7, 9, 13
5	1	i	11	Human 2	3, 5, 7, 11, 13
5	1	to	9	Human 2	3, 5, 7, 9, 11
4	1	have	7	Human 2	3, 5, 7, 9
4	1	or	7	Human 2	3, 5, 7, 9
2	1	an	3	Human 2	3, 5
2	1	any	5	Human 2	9, 13
2	1	assistance	5	Human 2	9, 13
2	1	days	3	Human 2	3, 5
2	1	feelings	3	Human 2	3, 5
2	1	in	5	Human 2	7, 11
2	1	physical	5	Human 2	7, 11
2	1	weight	7	Human 2	7, 13
2	1	with	5	Human 2	5, 9
2	1	you	5	Human 2	5, 9
2	1	your	5	Human 2	5, 9

