Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	2	! i	7	Human 1	2, 8
2	2	yourself ?	7	Human 1	2, 8
6	1	i	13	Human 1	2, 4, 8, 10, 12, 14
3	1	is	11	Human 1	4, 12, 14
3	1	it	13	Human 1	2, 4, 14
3	1	of	11	Human 1	2, 6, 12
3	1	there	5	Human 1	10, 12, 14
2	1	about	11	Human 1	2, 12
2	1	been	11	Human 1	4, 14
2	1	haha	5	Human 1	4, 8
2	1	have	7	Human 1	8, 14
2	1	how	3	Human 1	2, 4
2	1	like	9	Human 1	4, 12
2	1	my	9	Human 1	4, 12
2	1	oh	5	Human 1	10, 14
2	1	sea	3	Human 1	6, 8
2	1	the	3	Human 1	12, 14
2	1	to	11	Human 1	4, 14
2	1	you	3	Human 1	10, 12

