Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	3	i'm going to	3	Human 2	5, 7
3	2	going to	5	Human 2	3, 5, 7
2	2	and you	7	Human 2	9, 15
2	2	the wedding	3	Human 2	5, 7
4	1	the	11	Human 2	5, 7, 9, 15
3	1	i	7	Human 2	9, 11, 15
3	1	i'm	9	Human 2	5, 7, 13
3	1	wedding	5	Human 2	3, 5, 7
2	1	a	13	Human 2	3, 15
2	1	haha	3	Human 2	9, 11
2	1	in	7	Human 2	9, 15
2	1	live	3	Human 2	7, 9
2	1	not	9	Human 2	7, 15
2	1	still	3	Human 2	13, 15
2	1	that	11	Human 2	5, 15
2	1	this	5	Human 2	11, 15
2	1	training	3	Human 2	13, 15
2	1	ufc	5	Human 2	11, 15

