Freq.	Size	Surface Form	Spanning	First Speaker	Turns
3	3	this month ?	7	Human 2	3, 7, 9
2	3	what about you	3	Human 2	5, 7
3	2	are you	7	Human 2	3, 7, 9
2	2	i just	9	Human 2	3, 11
2	2	i never	3	Human 2	13, 15
2	2	pikachu was	3	Human 2	15, 17
2	2	that i	5	Human 2	11, 15
6	1	you	15	Human 2	3, 5, 7, 9, 11, 17
5	1	i	13	Human 2	3, 5, 11, 13, 15
5	1	pikachu	11	Human 2	7, 11, 13, 15, 17
4	1	are	13	Human 2	3, 7, 9, 15
4	1	this	7	Human 2	3, 5, 7, 9
4	1	what	7	Human 2	3, 5, 7, 9
3	1	a	11	Human 2	3, 5, 13
3	1	and	13	Human 2	5, 15, 17
3	1	never	5	Human 2	11, 13, 15
3	1	show	5	Human 2	13, 15, 17
3	1	that	5	Human 2	11, 13, 15
3	1	the	5	Human 2	11, 13, 15
3	1	to	9	Human 2	5, 7, 13
3	1	was	5	Human 2	13, 15, 17
2	1	back	3	Human 2	3, 5
2	1	but	3	Human 2	11, 13
2	1	favorite	5	Human 2	13, 17
2	1	like	3	Human 2	15, 17
2	1	now	3	Human 2	15, 17
2	1	used	3	Human 2	11, 13
2	1	your	17	Human 2	1, 17

