Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	5	i'm just an ai ,	3	Human 2	3, 5
2	4	parlor and dojo are	3	Human 2	9, 11
3	3	parlor and dojo	5	Human 2	9, 11, 13
2	2	for ramen	3	Human 2	9, 11
2	2	nice !	3	Human 2	7, 9
2	2	san mateo	3	Human 2	11, 13
2	2	the best	3	Human 2	11, 13
2	2	today ?	5	Human 2	3, 7
5	1	for	9	Human 2	5, 7, 9, 11, 13
4	1	have	11	Human 2	3, 5, 9, 13
4	1	ramen	7	Human 2	7, 9, 11, 13
4	1	you	9	Human 2	3, 7, 9, 11
3	1	are	5	Human 2	7, 9, 11
3	1	i	9	Human 2	3, 5, 11
3	1	the	7	Human 2	7, 11, 13
2	1	any	7	Human 2	3, 9
2	1	can	3	Human 2	3, 5
2	1	haha	5	Human 2	7, 11
2	1	is	5	Human 2	7, 11
2	1	options	5	Human 2	5, 9
2	1	or	3	Human 2	3, 5
2	1	places	3	Human 2	9, 11
2	1	to	11	Human 2	3, 13
2	1	what	3	Human 2	7, 9

