Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	2	! i	9	Human 1	6, 14
2	2	. how	7	Human 1	2, 8
5	1	i	13	Human 1	2, 4, 6, 12, 14
5	1	you	11	Human 1	8, 10, 12, 16, 18
3	1	so	11	Human 1	4, 12, 14
2	1	a	7	Human 1	12, 18
2	1	and	3	Human 1	4, 6
2	1	day	13	Human 1	2, 14
2	1	going	9	Human 1	2, 10
2	1	in	7	Human 1	6, 12
2	1	is	15	Human 1	2, 16
2	1	just	3	Human 1	12, 14
2	1	mostly	5	Human 1	4, 8
2	1	my	3	Human 1	4, 6
2	1	on	7	Human 1	2, 8
2	1	places	5	Human 1	10, 14
2	1	that	5	Human 1	12, 16
2	1	to	7	Human 1	4, 10
2	1	with	5	Human 1	12, 16
2	1	would	7	Human 1	4, 10
2	1	your	11	Human 1	2, 12

