Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
2	2	3	nice meeting you	3	2	1	Human 1	2, 3
2	2	2	hi !	1	2	1	Human 1	0, 1
7	7	1	i	6	11	2	Human 2	3, 5, 6, 7, 11, 12, 13
7	6	1	you	3	12	1	Human 1	2, 3, 7, 10, 11, 12, 13
5	5	1	food	5	10	1	Human 1	4, 5, 6, 7, 13
4	4	1	for	9	8	2	Human 1	4, 6, 9, 11
4	4	1	parlor	11	6	1	Human 1	8, 11, 12, 13
3	3	1	and	8	7	1	Human 2	7, 8, 13
3	3	1	have	12	7	1	Human 2	7, 12, 13
3	3	1	ramen	11	6	2	Human 1	6, 8, 11
3	3	1	san	11	4	2	Human 1	8, 10, 11
2	2	1	any	5	2	1	Human 1	4, 5
2	2	1	it's	14	12	1	Human 2	3, 14
2	2	1	japanese	7	2	1	Human 1	6, 7
2	2	1	no	9	2	1	Human 1	8, 9
2	2	1	the	11	4	1	Human 1	8, 11

