Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	5	a vast and diverse country	7	Human 2	7, 13
2	2	from different	5	Human 2	7, 11
2	2	it is	7	Human 2	7, 13
2	2	short interactions	3	Human 2	9, 11
2	2	to meet	5	Human 2	3, 7
2	2	you get	11	Human 2	3, 13
5	1	and	9	Human 2	7, 9, 11, 13, 15
5	1	it	11	Human 2	5, 7, 9, 13, 15
5	1	to	11	Human 2	3, 7, 9, 11, 13
4	1	a	11	Human 2	3, 5, 7, 13
4	1	different	9	Human 2	3, 5, 7, 11
4	1	from	7	Human 2	7, 9, 11, 13
4	1	is	13	Human 2	1, 7, 11, 13
4	1	people	9	Human 2	3, 7, 9, 11
4	1	the	11	Human 2	3, 9, 11, 13
4	1	you	13	Human 2	3, 5, 13, 15
3	1	interactions	5	Human 2	9, 11, 13
3	1	like	11	Human 2	5, 11, 15
3	1	what	11	Human 2	1, 9, 11
3	1	you're	9	Human 2	3, 5, 11
2	1	about	9	Human 2	5, 13
2	1	are	7	Human 2	9, 15
2	1	australia	5	Human 2	7, 11
2	1	countless	3	Human 2	7, 9
2	1	holiday	3	Human 2	1, 3
2	1	if	3	Human 2	3, 5
2	1	of	9	Human 2	3, 11
2	1	one	7	Human 2	3, 9
2	1	where	3	Human 2	3, 5

