Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
4	4	2	different from	9	6	1	Human 1	8, 9, 11, 13
4	4	2	i do	12	7	1	Human 2	9, 12, 14, 15
2	2	2	a lot	14	10	1	Human 2	5, 14
2	2	2	different kinds	15	2	1	Human 1	14, 15
2	2	2	what i	9	2	1	Human 1	8, 9
9	4	1	i	5	14	1	Human 1	2, 5, 7, 8, 9, 10, 12, 14, 15
6	4	1	a	4	12	1	Human 2	3, 4, 5, 8, 10, 14
5	1	1	do	12	11	2	Human 2	5, 9, 12, 14, 15
5	1	1	from	9	12	2	Human 1	2, 8, 9, 11, 13
4	4	1	i'm	7	8	1	Human 1	4, 7, 9, 11
4	4	1	just	7	10	1	Human 1	2, 7, 9, 11
4	4	1	life	9	6	1	Human 1	8, 9, 11, 13
3	3	1	is	9	4	1	Human 1	8, 9, 11
3	3	1	lawyer	11	10	1	Human 1	4, 11, 13
3	3	1	of	15	12	2	Human 1	4, 14, 15
3	3	1	oil	13	4	1	Human 1	12, 13, 15
3	3	1	painting	13	4	1	Human 1	12, 13, 15
3	3	1	to	4	6	1	Human 2	3, 4, 8
3	3	1	work	3	4	1	Human 1	2, 3, 5
2	2	1	day	4	2	1	Human 2	3, 4
2	2	1	hi	1	2	1	Human 1	0, 1
2	2	1	painter	11	2	1	Human 1	10, 11
2	2	1	really	7	2	1	Human 1	6, 7
2	2	1	the	5	2	1	Human 1	4, 5

