Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	2	. i	3	Human 1	12, 14
2	2	i guess	9	Human 1	4, 12
2	2	nice !	3	Human 1	8, 10
2	2	the cold	7	Human 1	4, 10
4	1	i	13	Human 1	2, 4, 12, 14
4	1	the	11	Human 1	4, 10, 12, 14
3	1	cold	7	Human 1	4, 6, 10
3	1	get	9	Human 1	6, 12, 14
3	1	in	13	Human 1	2, 4, 14
3	1	out	11	Human 1	2, 6, 12
3	1	to	7	Human 1	6, 10, 12
3	1	we	9	Human 1	6, 12, 14
2	1	a	3	Human 1	4, 6
2	1	for	5	Human 1	6, 10
2	1	goodies	11	Human 1	2, 12
2	1	it	7	Human 1	6, 12
2	1	its	3	Human 1	4, 6
2	1	live	3	Human 1	8, 10
2	1	our	9	Human 1	6, 14
2	1	that	3	Human 1	4, 6
2	1	they	11	Human 1	2, 12
2	1	walk	9	Human 1	6, 14

