Freq.	Size	Surface Form	Spanning	First Speaker	Turns
3	3	i live in	5	Human 2	5, 7, 9
2	2	, you	11	Human 2	5, 15
2	2	i've been	5	Human 2	9, 13
2	2	in japan	3	Human 2	7, 9
2	2	too ,	7	Human 2	9, 15
6	1	i	11	Human 2	5, 7, 9, 11, 13, 15
5	1	and	13	Human 2	3, 9, 11, 13, 15
5	1	the	11	Human 2	3, 7, 9, 11, 13
4	1	in	11	Human 2	5, 7, 9, 15
4	1	it	15	Human 2	1, 9, 11, 15
4	1	to	13	Human 2	3, 11, 13, 15
2	1	about	7	Human 2	3, 9
2	1	been	5	Human 2	9, 13
2	1	fish	3	Human 2	11, 13
2	1	i'm	9	Human 2	3, 11
2	1	my	9	Human 2	5, 13
2	1	nice	3	Human 2	5, 7
2	1	there	3	Human 2	13, 15
2	1	was	5	Human 2	11, 15
2	1	where	5	Human 2	9, 13

