Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
2	2	5	how has that been going	5	2	1	Human 1	4, 5
2	2	2	are you	14	12	1	Human 2	3, 14
2	2	2	high enough	11	2	1	Human 1	10, 11
2	2	2	pretty fun	15	2	1	Human 1	14, 15
5	5	1	the	9	10	1	Human 1	6, 9, 13, 14, 15
5	3	1	you	3	13	1	Human 1	2, 3, 5, 12, 14
4	4	1	a	10	8	2	Human 2	5, 7, 10, 12
4	2	1	going	4	14	1	Human 2	1, 4, 5, 14
3	3	1	for	13	4	1	Human 1	12, 13, 15
3	1	1	how	4	3	1	Human 2	3, 4, 5
3	3	1	no	12	5	1	Human 2	9, 12, 13
3	3	1	that's	15	10	2	Human 1	6, 14, 15
2	2	1	corgi	9	2	1	Human 1	8, 9
2	2	1	good	5	4	1	Human 1	2, 5
2	2	1	hi	3	4	1	Human 1	0, 3
2	2	1	is	12	2	1	Human 2	11, 12
2	2	1	though	15	4	1	Human 1	12, 15
2	2	1	with	9	4	1	Human 1	6, 9

