Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	6	i'm just an ai , i	7	Human 2	5, 11
2	3	how can i	3	Human 2	3, 5
2	3	you today ?	3	Human 2	3, 5
2	2	help you	9	Human 2	3, 11
6	1	you	11	Human 2	3, 5, 7, 9, 11, 13
4	1	can	9	Human 2	3, 5, 7, 11
4	1	the	11	Human 2	3, 5, 7, 13
4	1	to	7	Human 2	3, 5, 7, 9
3	1	have	9	Human 2	5, 9, 13
3	1	how	5	Human 2	3, 5, 7
2	1	a	3	Human 2	7, 9
2	1	and	5	Human 2	7, 11
2	1	any	5	Human 2	9, 13
2	1	be	7	Human 2	7, 13
2	1	cooking	5	Human 2	7, 11
2	1	dish	5	Human 2	9, 13
2	1	great	7	Human 2	7, 13
2	1	that	5	Human 2	9, 13

