Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	3	a couple of	3	Human 1	8, 10
2	2	. i'm	3	Human 1	6, 8
2	2	have you	9	Human 1	2, 10
2	2	i love	3	Human 1	10, 12
2	2	though .	5	Human 1	6, 10
4	1	of	7	Human 1	6, 8, 10, 12
4	1	you	11	Human 1	2, 4, 10, 12
3	1	a	5	Human 1	6, 8, 10
3	1	and	5	Human 1	4, 6, 8
3	1	have	11	Human 1	2, 10, 12
3	1	i	5	Human 1	8, 10, 12
3	1	it	7	Human 1	6, 8, 12
3	1	though	5	Human 1	6, 8, 10
2	1	for	3	Human 1	6, 8
2	1	had	9	Human 1	2, 10
2	1	lunch	5	Human 1	2, 6
2	1	the	5	Human 1	8, 12
2	1	was	3	Human 1	6, 8
2	1	what	9	Human 1	4, 12

