Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	5	parlor ramen and dojo are	3	Human 2	9, 11
2	4	san mateo has a	3	Human 2	11, 13
2	3	i'm phi ,	3	Human 2	3, 5
3	2	phi ,	5	Human 2	3, 5, 7
2	2	, and	9	Human 2	5, 13
2	2	i don't	3	Human 2	3, 5
2	2	of restaurants	3	Human 2	11, 13
2	2	ramen .	3	Human 2	9, 11
4	1	a	9	Human 2	5, 9, 11, 13
4	1	for	7	Human 2	7, 9, 11, 13
3	1	are	5	Human 2	9, 11, 13
3	1	as	5	Human 2	3, 5, 7
3	1	food	7	Human 2	5, 7, 11
3	1	i'm	5	Human 2	3, 5, 7
3	1	you	11	Human 2	3, 7, 13
2	1	any	3	Human 2	5, 7
2	1	have	5	Human 2	3, 7
2	1	japanese	3	Human 2	9, 11
2	1	or	3	Human 2	5, 7
2	1	the	3	Human 2	11, 13

