Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	3	of the event	5	Human 1	4, 8
2	3	the event .	5	Human 1	8, 12
2	3	these events ?	5	Human 1	2, 6
3	2	the event	9	Human 1	4, 8, 12
2	2	add you	7	Human 1	8, 14
2	2	logistics and	9	Human 1	4, 12
2	2	the place	7	Human 1	4, 10
2	2	volunteers have	9	Human 1	4, 12
5	1	to	13	Human 1	2, 4, 8, 10, 14
4	1	have	11	Human 1	4, 6, 12, 14
4	1	the	9	Human 1	4, 8, 10, 12
4	1	you	13	Human 1	2, 6, 8, 14
3	1	for	7	Human 1	2, 6, 8
3	1	it	11	Human 1	4, 10, 14
3	1	of	5	Human 1	4, 6, 8
3	1	volunteers	9	Human 1	4, 8, 12
3	1	we	5	Human 1	10, 12, 14
2	1	a	7	Human 1	8, 14
2	1	and	9	Human 1	4, 12
2	1	i	7	Human 1	8, 14
2	1	is	13	Human 1	2, 14
2	1	its	3	Human 1	8, 10
2	1	next	9	Human 1	2, 10
2	1	out	9	Human 1	4, 12
2	1	some	9	Human 1	4, 12
2	1	there	7	Human 1	2, 8
2	1	will	5	Human 1	4, 8
2	1	with	5	Human 1	8, 12

