Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	3	. if you	9	Human 2	5, 13
2	3	i'm phi ,	11	Human 2	3, 13
2	3	i'm phi and	5	Human 2	7, 11
3	2	emotions ,	7	Human 2	7, 9, 13
3	2	i don't	7	Human 2	3, 7, 9
2	2	, and	9	Human 2	5, 13
2	2	, but	5	Human 2	3, 7
2	2	, i	3	Human 2	7, 9
2	2	i appreciate	3	Human 2	9, 11
2	2	your day	13	Human 2	1, 13
5	1	i'm	11	Human 2	3, 5, 7, 11, 13
5	1	phi	11	Human 2	3, 7, 9, 11, 13
4	1	a	11	Human 2	3, 5, 9, 13
3	1	day	13	Human 2	1, 11, 13
3	1	going	11	Human 2	1, 5, 11
3	1	that	9	Human 2	5, 9, 13
3	1	you	9	Human 2	5, 7, 13
3	1	your	13	Human 2	1, 11, 13
2	1	feel	5	Human 2	5, 9
2	1	for	3	Human 2	7, 9
2	1	how	5	Human 2	7, 11
2	1	like	11	Human 2	3, 13
2	1	might	3	Human 2	11, 13
2	1	some	3	Human 2	11, 13
2	1	such	3	Human 2	7, 9
2	1	you're	3	Human 2	3, 5

