Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	2	. its	7	Human 2	7, 13
2	2	for the	5	Human 2	9, 13
2	2	right ?	7	Human 2	7, 13
2	2	you live	3	Human 2	9, 11
4	1	the	11	Human 2	5, 9, 13, 15
4	1	you	11	Human 2	1, 7, 9, 11
3	1	are	5	Human 2	1, 3, 5
3	1	for	7	Human 2	7, 9, 13
3	1	i	13	Human 2	3, 5, 15
3	1	right	9	Human 2	7, 13, 15
3	1	that	11	Human 2	5, 13, 15
3	1	they	11	Human 2	3, 5, 13
2	1	can	13	Human 2	3, 15
2	1	cold	3	Human 2	7, 9
2	1	guess	11	Human 2	5, 15
2	1	out	9	Human 2	5, 13
2	1	what	13	Human 2	3, 15
2	1	where	3	Human 2	9, 11

