Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	5	i was not able to	3	Human 1	2, 4
3	2	able to	7	Human 1	2, 4, 8
2	2	! i	3	Human 1	10, 12
2	2	i think	5	Human 1	4, 8
2	2	week .	11	Human 1	2, 12
5	1	the	9	Human 1	2, 4, 6, 8, 10
4	1	to	9	Human 1	2, 4, 8, 10
4	1	you	11	Human 1	2, 4, 8, 12
3	1	do	9	Human 1	4, 10, 12
3	1	not	7	Human 1	2, 4, 8
2	1	be	3	Human 1	8, 10
2	1	have	3	Human 1	4, 6
2	1	its	7	Human 1	4, 10
2	1	last	3	Human 1	2, 4
2	1	this	7	Human 1	4, 10
2	1	time	3	Human 1	4, 6
2	1	up	3	Human 1	8, 10

