Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	9	and have been too tiresome for that holidays 😅	3	Human 2	11, 13
2	3	climate change thing	3	Human 2	15, 17
2	3	i'm just happy	3	Human 2	7, 9
2	3	throw out just	3	Human 2	15, 17
2	2	. how	5	Human 2	3, 7
2	2	been going	3	Human 2	5, 7
2	2	childhood days	3	Human 2	15, 17
2	2	has been	3	Human 2	3, 5
2	2	i'm the	3	Human 2	11, 13
2	2	like fresh	3	Human 2	15, 17
2	2	responsible for	3	Human 2	15, 17
2	2	stay healthy	5	Human 2	5, 9
2	2	to relax	3	Human 2	7, 9
2	2	with the	3	Human 2	7, 9
7	1	for	17	Human 2	1, 3, 9, 11, 13, 15, 17
6	1	and	11	Human 2	5, 7, 9, 11, 13, 15
6	1	the	15	Human 2	1, 7, 9, 11, 13, 15
5	1	just	11	Human 2	7, 9, 11, 15, 17
4	1	can	15	Human 2	3, 5, 15, 17
3	1	but	7	Human 2	9, 13, 15
3	1	going	7	Human 2	1, 5, 7
3	1	has	5	Human 2	3, 5, 7
3	1	have	7	Human 2	11, 13, 17
3	1	holidays	5	Human 2	9, 11, 13
3	1	stay	5	Human 2	5, 7, 9
3	1	to	5	Human 2	5, 7, 9
3	1	too	5	Human 2	9, 11, 13
3	1	tree	5	Human 2	13, 15, 17
2	1	christmas	3	Human 2	15, 17
2	1	day	7	Human 2	1, 7
2	1	it	3	Human 2	3, 5
2	1	lights	5	Human 2	11, 15
2	1	quite	3	Human 2	3, 5
2	1	then	3	Human 2	15, 17

