Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	4	i would love to	3	Human 2	7, 9
2	2	. i	7	Human 2	7, 13
2	2	are you	11	Human 2	1, 11
2	2	can see	3	Human 2	7, 9
2	2	from there	5	Human 2	11, 15
2	2	great .	5	Human 2	11, 15
2	2	well .	5	Human 2	3, 7
2	2	where you	3	Human 2	7, 9
6	1	i'm	13	Human 2	3, 5, 7, 11, 13, 15
5	1	and	11	Human 2	5, 7, 9, 13, 15
4	1	i	9	Human 2	5, 7, 9, 13
3	1	great	9	Human 2	7, 11, 15
3	1	just	9	Human 2	5, 9, 13
3	1	see	7	Human 2	7, 9, 13
3	1	there	7	Human 2	9, 11, 15
3	1	to	7	Human 2	7, 9, 13
3	1	where	5	Human 2	7, 9, 11
3	1	would	7	Human 2	7, 9, 13
2	1	a	3	Human 2	3, 5
2	1	about	5	Human 2	7, 11
2	1	cat	5	Human 2	3, 7
2	1	have	5	Human 2	5, 9
2	1	not	3	Human 2	13, 15
2	1	one	3	Human 2	13, 15
2	1	rainforests	7	Human 2	9, 15
2	1	sad	3	Human 2	3, 5
2	1	the	9	Human 2	7, 15
2	1	vacation	3	Human 2	7, 9

