Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	2	are you	11	Human 2	3, 13
2	2	my son	7	Human 2	5, 11
2	2	the movies	3	Human 2	9, 11
5	1	the	11	Human 2	3, 7, 9, 11, 13
4	1	to	11	Human 2	1, 3, 9, 11
4	1	you	13	Human 2	1, 3, 5, 13
3	1	day	7	Human 2	1, 3, 7
3	1	i	5	Human 2	5, 7, 9
3	1	like	9	Human 2	5, 9, 13
3	1	my	9	Human 2	3, 5, 11
3	1	son	9	Human 2	5, 11, 13
2	1	a	7	Human 2	1, 7
2	1	always	9	Human 2	3, 11
2	1	be	5	Human 2	7, 11
2	1	don't	7	Human 2	5, 11
2	1	for	7	Human 2	7, 13
2	1	i'm	7	Human 2	7, 13
2	1	just	7	Human 2	3, 9
2	1	oh	11	Human 2	3, 13
2	1	so	7	Human 2	7, 13
2	1	what	3	Human 2	3, 5
2	1	with	11	Human 2	1, 11
2	1	your	9	Human 2	5, 13

