Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
2	2	4	it's fun to play	11	8	1	Human 1	4, 11
2	2	3	, but i'm	4	2	1	Human 2	3, 4
4	2	2	, but	9	9	1	Human 2	3, 4, 9, 11
3	3	2	. what	3	4	1	Human 1	2, 3, 5
2	2	2	but it's	11	4	1	Human 1	8, 11
2	2	2	get into	9	2	1	Human 1	8, 9
2	2	2	hi !	1	2	1	Human 1	0, 1
2	2	2	in the	10	6	1	Human 2	5, 10
2	2	2	with a	7	4	1	Human 1	4, 7
2	2	2	with friends	5	2	1	Human 1	4, 5
10	9	1	i'm	3	12	1	Human 1	2, 3, 4, 5, 6, 7, 8, 9, 11, 13
9	9	1	you	2	13	1	Human 2	1, 2, 3, 4, 6, 9, 11, 12, 13
7	5	1	the	10	13	3	Human 2	1, 5, 7, 10, 11, 12, 13
6	5	1	a	7	9	3	Human 1	2, 4, 6, 7, 8, 10
6	1	1	but	13	11	1	Human 2	3, 4, 8, 9, 11, 13
5	5	1	for	2	10	1	Human 2	1, 2, 3, 7, 10
5	4	1	to	4	9	1	Human 2	3, 4, 8, 10, 11
4	4	1	are	10	13	2	Human 2	1, 3, 10, 13
4	2	1	fun	9	8	1	Human 1	4, 9, 10, 11
4	4	1	game	3	10	1	Human 1	2, 3, 7, 11
4	4	1	i	4	8	1	Human 2	3, 4, 5, 10
4	4	1	it	9	10	2	Human 1	4, 6, 9, 13
4	1	1	it's	11	8	3	Human 1	4, 8, 10, 11
4	2	1	with	7	10	1	Human 1	4, 5, 7, 13
3	3	1	about	11	10	2	Human 1	2, 6, 11
3	3	1	an	10	6	2	Human 2	5, 7, 10
3	1	1	friends	5	4	2	Human 1	2, 4, 5
3	1	1	in	13	9	1	Human 2	5, 10, 13
3	1	1	play	5	8	1	Human 1	4, 5, 11
3	3	1	read	11	3	1	Human 1	10, 11, 12
2	2	1	book	13	4	1	Human 1	10, 13
2	2	1	do	5	2	1	Human 1	4, 5
2	2	1	exercise	5	2	1	Human 1	4, 5
2	2	1	great	7	6	1	Human 1	2, 7
2	2	1	just	11	2	1	Human 1	10, 11
2	2	1	not	13	6	1	Human 1	8, 13
2	2	1	or	5	2	1	Human 1	4, 5
2	2	1	recommend	13	8	1	Human 1	6, 13
2	2	1	soccer	5	4	1	Human 1	2, 5
2	2	1	switch	7	2	1	Human 1	6, 7
2	2	1	thanks	3	2	1	Human 1	2, 3

