Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	4	i work from home	3	Human 2	5, 7
3	3	work from home	5	Human 2	5, 7, 9
2	2	. it	3	Human 2	7, 9
2	2	do .	3	Human 2	9, 11
2	2	i'm so	3	Human 2	5, 7
2	2	it really	5	Human 2	7, 11
2	2	person ,	11	Human 2	3, 13
5	1	i	11	Human 2	5, 7, 9, 11, 15
5	1	it	9	Human 2	7, 9, 11, 13, 15
4	1	from	9	Human 2	5, 7, 9, 13
4	1	work	11	Human 2	5, 7, 9, 15
3	1	i'm	9	Human 2	5, 7, 13
3	1	really	5	Human 2	7, 9, 11
3	1	so	5	Human 2	5, 7, 9
3	1	to	9	Human 2	5, 9, 13
3	1	what	7	Human 2	9, 11, 15
2	1	be	7	Human 2	9, 15
2	1	but	3	Human 2	13, 15
2	1	do	3	Human 2	9, 11
2	1	hard	7	Human 2	9, 15
2	1	in	5	Human 2	5, 9
2	1	is	11	Human 2	3, 13
2	1	me	7	Human 2	7, 13
2	1	of	3	Human 2	13, 15
2	1	painting	3	Human 2	11, 13
2	1	tired	5	Human 2	3, 7
2	1	with	3	Human 2	5, 7
2	1	you	3	Human 2	9, 11

