Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	5	all over the world .	3	Human 1	12, 14
3	2	. i	11	Human 1	4, 8, 14
3	2	it was	5	Human 1	10, 12, 14
2	2	have any	3	Human 1	2, 4
2	2	i was	5	Human 1	10, 14
2	2	in germany	3	Human 1	14, 16
2	2	you have	3	Human 1	2, 4
7	1	i	15	Human 1	2, 4, 6, 8, 10, 14, 16
5	1	have	13	Human 1	2, 4, 8, 10, 14
3	1	a	5	Human 1	10, 12, 14
3	1	in	9	Human 1	8, 14, 16
3	1	it	5	Human 1	10, 12, 14
3	1	the	13	Human 1	2, 12, 14
3	1	to	7	Human 1	4, 8, 10
3	1	you	5	Human 1	2, 4, 6
2	1	at	11	Human 1	4, 14
2	1	do	11	Human 1	2, 12
2	1	on	7	Human 1	4, 10
2	1	organization	3	Human 1	12, 14
2	1	plans	3	Human 1	2, 4
2	1	they	3	Human 1	12, 14
2	1	volunteer	3	Human 1	10, 12

