Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
2	2	4	. what about <redacted_term>	9	2	1	Human 1	8, 9
3	1	3	. what about	11	4	1	Human 1	8, 9, 11
2	2	3	over 3 years	5	2	1	Human 1	4, 5
2	2	3	that sounds like	7	2	1	Human 1	6, 7
4	1	2	what about	9	8	2	Human 1	4, 8, 9, 11
2	2	2	i have	7	4	1	Human 1	4, 7
2	2	2	let's try	11	4	1	Human 1	8, 11
2	2	2	like a	6	2	1	Human 2	5, 6
2	2	2	with the	7	4	1	Human 1	4, 7
6	3	1	like	5	10	1	Human 1	2, 5, 6, 7, 9, 11
6	4	1	the	4	9	1	Human 2	3, 4, 7, 9, 10, 11
6	6	1	you	5	11	2	Human 1	2, 4, 5, 8, 11, 12
5	3	1	with	5	8	1	Human 1	4, 5, 7, 9, 11
4	2	1	a	9	7	1	Human 2	5, 6, 9, 11
4	4	1	for	7	8	1	Human 1	4, 7, 9, 11
4	2	1	have	5	8	1	Human 1	4, 5, 7, 11
4	2	1	i	4	5	1	Human 2	3, 4, 5, 7
3	3	1	company	5	4	1	Human 1	4, 5, 7
3	3	1	different	9	4	1	Human 1	8, 9, 11
3	1	1	let's	9	4	1	Human 1	8, 9, 11
3	1	1	over	8	5	1	Human 1	4, 5, 8
3	3	1	then	11	3	1	Human 1	10, 11, 12
3	3	1	your	5	8	1	Human 1	2, 5, 9
2	2	1	always	11	4	1	Human 1	8, 11
2	2	1	meet	3	2	1	Human 1	2, 3
2	2	1	menu	11	2	1	Human 1	10, 11
2	2	1	plan	7	2	1	Human 1	6, 7
2	2	1	this	3	2	1	Human 1	2, 3
2	2	1	to	5	4	1	Human 1	2, 5

