Freq.	Size	Surface Form	Spanning	First Speaker	Turns
3	2	! i	9	Human 2	5, 7, 13
3	2	. i	11	Human 2	5, 13, 15
2	2	i am	9	Human 2	5, 13
2	2	in the	3	Human 2	3, 5
2	2	it was	3	Human 2	7, 9
2	2	to get	3	Human 2	13, 15
6	1	i	11	Human 2	5, 7, 9, 11, 13, 15
5	1	cold	9	Human 2	5, 7, 9, 11, 13
5	1	the	13	Human 2	3, 5, 11, 13, 15
3	1	but	9	Human 2	7, 11, 15
3	1	get	9	Human 2	7, 13, 15
3	1	in	9	Human 2	3, 5, 11
3	1	it's	11	Human 2	5, 13, 15
3	1	to	7	Human 2	9, 13, 15
2	1	a	3	Human 2	5, 7
2	1	are	3	Human 2	1, 3
2	1	didn't	3	Human 2	7, 9
2	1	for	7	Human 2	5, 11
2	1	good	5	Human 2	3, 7
2	1	hello	3	Human 2	1, 3
2	1	house	5	Human 2	5, 9
2	1	it	3	Human 2	7, 9
2	1	jacket	5	Human 2	5, 9
2	1	my	5	Human 2	9, 13
2	1	need	7	Human 2	7, 13
2	1	so	5	Human 2	5, 9
2	1	still	3	Human 2	13, 15
2	1	that	3	Human 2	7, 9
2	1	they	13	Human 2	3, 15
2	1	was	3	Human 2	7, 9

