Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	4	i work from home	5	Human 2	5, 9
3	3	work from home	5	Human 2	5, 7, 9
2	3	do you do	7	Human 2	9, 15
3	2	do you	13	Human 2	3, 9, 15
2	2	, why	3	Human 2	7, 9
5	1	work	11	Human 2	3, 5, 7, 9, 13
4	1	do	13	Human 2	3, 5, 9, 15
4	1	home	9	Human 2	5, 7, 9, 13
4	1	i'm	9	Human 2	5, 7, 11, 13
3	1	the	7	Human 2	5, 7, 11
2	1	an	3	Human 2	11, 13
2	1	i	5	Human 2	5, 9
2	1	painting	3	Human 2	13, 15
2	1	studio	3	Human 2	11, 13
2	1	to	3	Human 2	9, 11
2	1	what	7	Human 2	9, 15

