Freq.	Size	Surface Form	Spanning	First Speaker	Turns
3	3	i live in	5	Human 2	5, 7, 9
2	3	live in the	3	Human 2	9, 11
2	3	the united states	5	Human 2	9, 13
2	3	was so hot	3	Human 2	9, 11
4	2	in the	7	Human 2	5, 7, 9, 11
2	2	? i	9	Human 2	7, 15
2	2	had a	3	Human 2	11, 13
2	2	i'm just	5	Human 2	3, 7
2	2	it was	3	Human 2	9, 11
2	2	time ,	3	Human 2	9, 11
6	1	the	11	Human 2	5, 7, 9, 11, 13, 15
5	1	a	11	Human 2	5, 9, 11, 13, 15
5	1	i	11	Human 2	5, 7, 9, 11, 15
4	1	it	11	Human 2	1, 5, 9, 11
4	1	so	9	Human 2	5, 9, 11, 13
4	1	to	9	Human 2	3, 5, 9, 11
3	1	i'm	11	Human 2	3, 7, 13
3	1	was	7	Human 2	9, 11, 15
3	1	you	11	Human 2	3, 7, 13
2	1	and	3	Human 2	11, 13
2	1	disney	3	Human 2	13, 15
2	1	japan	3	Human 2	7, 9
2	1	nice	5	Human 2	5, 9
2	1	we	3	Human 2	11, 13

