Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	3	can be a	7	Human 1	4, 10
2	2	! how	3	Human 1	2, 4
2	2	can be	7	Human 1	4, 10
2	2	it was	9	Human 1	4, 12
2	2	yes ,	5	Human 1	4, 8
3	1	be	9	Human 1	4, 10, 12
3	1	i	9	Human 1	4, 8, 12
3	1	it	9	Human 1	4, 10, 12
3	1	the	9	Human 1	4, 8, 12
3	1	yes	9	Human 1	4, 8, 12
2	1	australia	3	Human 1	12, 14
2	1	but	3	Human 1	10, 12
2	1	good	9	Human 1	2, 10
2	1	is	11	Human 1	2, 12
2	1	it's	9	Human 1	2, 10
2	1	me	3	Human 1	12, 14
2	1	movie	3	Human 1	6, 8
2	1	to	3	Human 1	12, 14
2	1	very	5	Human 1	8, 12
2	1	you	3	Human 1	12, 14

