Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
2	2	2	good .	7	4	1	Human 1	4, 7
7	7	1	like	3	9	1	Human 1	2, 3, 4, 5, 7, 9, 10
7	7	1	you	3	10	1	Human 1	2, 3, 4, 5, 7, 9, 11
5	5	1	gift	5	10	1	Human 1	2, 5, 7, 9, 11
5	5	1	the	3	11	1	Human 1	2, 3, 4, 11, 12
3	3	1	hawaii	9	4	1	Human 1	8, 9, 11
3	3	1	how	3	10	1	Human 1	2, 3, 11
3	3	1	morning	5	4	1	Human 1	4, 5, 7
3	3	1	to	8	6	2	Human 2	3, 5, 8
2	2	1	for	12	2	1	Human 2	11, 12
2	2	1	hi	1	2	1	Human 1	0, 1
2	2	1	holidays	7	4	1	Human 1	4, 7
2	2	1	i	10	8	1	Human 2	3, 10
2	2	1	is	4	4	1	Human 2	1, 4
2	2	1	too	10	6	1	Human 2	5, 10
2	2	1	yes	7	2	1	Human 1	6, 7

