Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	3	, and the	3	Human 2	7, 9
2	2	be an	5	Human 2	9, 13
2	2	classes can	3	Human 2	7, 9
2	2	i'm phi	3	Human 2	3, 5
2	2	team offsite	3	Human 2	11, 13
6	1	the	11	Human 2	3, 5, 7, 9, 11, 13
5	1	and	9	Human 2	5, 7, 9, 11, 13
4	1	can	9	Human 2	3, 7, 9, 11
3	1	a	9	Human 2	5, 11, 13
3	1	for	9	Human 2	5, 11, 13
3	1	to	9	Human 2	5, 9, 13
2	1	cooking	3	Human 2	7, 9
2	1	cover	3	Human 2	5, 7
2	1	i	3	Human 2	3, 5
2	1	of	5	Human 2	5, 9
2	1	preparing	5	Human 2	7, 11
2	1	team	3	Human 2	11, 13
2	1	you	11	Human 2	3, 13

