Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	7	what's your favorite computer language then 🙂	3	Human 2	9, 11
2	6	can have numerous health benefits for	3	Human 2	5, 7
2	2	. i	7	Human 2	1, 7
2	2	you .	3	Human 2	3, 5
2	2	you can	5	Human 2	1, 5
4	1	can	11	Human 2	1, 5, 7, 11
4	1	you	11	Human 2	1, 3, 5, 11
3	1	for	5	Human 2	3, 5, 7
3	1	i	7	Human 2	1, 3, 7
3	1	kale	5	Human 2	5, 7, 9
3	1	like	5	Human 2	3, 5, 7
3	1	to	7	Human 2	1, 3, 7
2	1	a	5	Human 2	5, 9
2	1	answer	5	Human 2	3, 7
2	1	health	3	Human 2	5, 7
2	1	me	11	Human 2	1, 11
2	1	more	5	Human 2	7, 11
2	1	my	3	Human 2	1, 3
2	1	not	9	Human 2	1, 9
2	1	the	3	Human 2	5, 7

